frame.time_delta,ip.proto,ip.len,tcp.srcport,tcp.dstport,tcp.flags.syn,icmp.type,icmp.seq,icmp.code
"0.000036914","6","40","2106","53745","False",,,
"0.000000231","6","40","4003","53745","False",,,
"0.000000165","6","40","64623","53745","False",,,
"0.000000160","6","40","5221","53745","False",,,
"0.000000162","6","40","3017","53745","False",,,
"0.000000176","6","40","1075","53745","False",,,
"0.000000164","6","40","6566","53745","False",,,
"0.000000164","6","40","5414","53745","False",,,
"0.000028158","6","40","5003","53745","False",,,
"0.000000218","6","40","4446","53745","False",,,
"0.000000170","6","40","1322","53745","False",,,
"0.000000170","6","40","10001","53745","False",,,
"0.000000179","6","40","9878","53745","False",,,
"0.000000165","6","40","7938","53745","False",,,
"0.000000176","6","40","3300","53745","False",,,
"0.000000168","6","40","49175","53745","False",,,
"0.000029273","6","40","543","53745","False",,,
"0.000090133","6","40","8089","53745","False",,,
"0.000380713","6","40","65000","53745","False",,,
"0.000000431","6","40","2170","53745","False",,,
"0.000000180","6","40","61532","53745","False",,,
"0.000294931","6","44","53745","32773","True",,,
"0.000130749","6","44","53745","5922","True",,,
"0.000097300","6","44","53745","49160","True",,,
"0.000199535","6","40","32773","53745","False",,,
"0.000117470","6","44","53745","37","True",,,
"0.000100758","6","44","53745","667","True",,,
"0.000082947","6","44","53745","1110","True",,,
"0.000084799","6","44","53745","41511","True",,,
"0.000080832","6","44","53745","2004","True",,,
"0.000072520","6","44","53745","2382","True",,,
"0.000069211","6","44","53745","1147","True",,,
"0.000068524","6","44","53745","50001","True",,,
"0.000078510","6","44","53745","10616","True",,,
"0.000151875","6","40","5922","53745","False",,,
"0.000000724","6","40","49160","53745","False",,,
"0.000050410","6","40","37","53745","False",,,
"0.000034465","6","44","53745","2323","True",,,
"0.000352713","6","40","667","53745","False",,,
"0.000001012","6","40","1110","53745","False",,,
"0.000000171","6","40","41511","53745","False",,,
"0.000000164","6","40","2004","53745","False",,,
"0.000000165","6","40","2382","53745","False",,,
"0.000322608","6","40","1147","53745","False",,,
"0.000000469","6","40","50001","53745","False",,,
"0.000000178","6","40","10616","53745","False",,,
"0.000049799","6","44","53745","8090","True",,,
"0.000197414","6","40","2323","53745","False",,,
"0.000049782","6","44","53745","6007","True",,,
"0.000102405","6","44","53745","15742","True",,,
"0.000205076","6","44","53745","726","True",,,
"0.000207358","6","44","53745","1839","True",,,
"0.000108334","6","44","53745","9500","True",,,
"0.000149895","6","40","8090","53745","False",,,
"0.000061584","6","44","53745","636","True",,,
"0.000252253","6","40","6007","53745","False",,,
"0.000000371","6","40","15742","53745","False",,,
"0.000098125","6","44","53745","545","True",,,
"0.000112797","6","44","53745","1126","True",,,
"0.000136504","6","44","53745","4567","True",,,
"0.000096736","6","44","53745","18988","True",,,
"0.000117736","6","44","53745","2035","True",,,
"0.000111615","6","44","53745","18101","True",,,
